,Job_Title,Company,Experience,Salary,Location,Job Domain,Description,Tags,Posting Date,Scraping Date,Link
10,Corporate Banking /wholesale Banking-retail Banking Account Operations,Accenture Solutions Pvt Ltd,0-1 Yrs,Not disclosed,Chennai,Bank Jobs,None,"['Service delivery', 'Operations management', 'Administration', 'Wholesale banking', 'professional services', 'Individual Contributor', 'Operations', 'Analytics']",Today,,None
11,Walk in Interview- BDE (casa & Insurance) in All Odisha Bank Branches,Jana Small Finance Bank Limited,1-4 Yrs,"2,00,000 - 3,00,000 PA.","Bhubaneshwar, Sambalpur, Rourkela",Bank Jobs,"Job responsibilities :Financial Responsibilities  : Acquisition of CASA & liabilities a/c from cold calling, market reference.Non-Financial Responsibilities  : Responsible for implementing sales and marketing activities within a branch in order to grow the Liabilities business and achievement of sales targets.Ensure Liability acquisition targets are met by developing new relationships and leveraging existing ones within the customer base.Responsible for acquiring new customers through multiple channels campaigns, branch walk ins, referrals from existing customers, through industry bodies and associations and through running industryAchieving overall numbers and value targets as per scorecard.Ensuring timely opening of accounts and giving smooth on boarding experience to NTB customers         Interested Candidates are requested to send their CVs at kasturi.sethi@janabank.com.  Required Candidate profileCandidate with Banking or Insurance background are eligible applyApplicable for both Male/Female candidatesAge within 33yrsMust be minimum graduateLocal candidates preferredGrade : Upto Sr. ExecutiveNP : Max 30 daysFresher not applicablePerks and Benefits Fixed salary + Incentives + Allowance + Insurance + Statutory benefits","['saving account', 'casa', 'bde', 'Life Insurance', 'business development', 'sales', 'marketing', 'casa sales officer']",5 Days Ago,,https://www.naukri.com/job-listings-walk-in-interview-bde-casa-insurance-in-all-odisha-bank-branches-jana-small-finance-bank-limited-bhubaneshwar-sambalpur-rourkela-1-to-4-years-200620002143?src=jobsearchDesk&sid=1593080894647428&xp=2&px=2
12,Full Time Content Writer (No Freelance),Capital Infotech,0-1 Yrs,"90,000 - 2,00,000 PA.",Kolkata(Barrackpore +1),Content Writing Jobs,"We are an all-round Content Writing Agency that deals with clients from almost every sphere. (Please read the job description thoroughly before applying.)Currently, we are hiring full-time content writers for Salt Lake location.As a Content Writer you would need:1. To do research on the given topic and gather information2. To write 100% unique content based on the research done3. To follow the guidelines provided4. To maintain deadline5. To write grammatically and factually correct sentencesBoth Freshers and Experienced candidates can apply. Required Candidate profile1. Must have good hold over both verbal and written English2. Must be well-versed with MS office3. Must have good typing speed4. Must be able to frame sentences on own5. Must adhere to deadlinesPerks and Benefits For Freshers the salary would range between 8,000-12000/- per month. Experienced candidates can earn up to 15,000 per month (need to have at least 6 - 9 months experience, and produce relevant documents during the interview)","['Press Release', 'Web Content Writer', 'Blog Writing', 'Content Writing', 'Technical Writing', 'Report Writing', 'Academic Writing', 'Medical Writing']",6 Days Ago,,https://www.naukri.com/job-listings-full-time-content-writer-no-freelance-capital-infotech-kolkata-0-to-1-years-281219001809?src=jobsearchDesk&sid=15930809658104078&xp=1&px=1
13,Intern - Content Writing & SEO,GetMyuni,0-1 Yrs,Not disclosed,Bengaluru,Content Writing Jobs,"Job Summary :Responsibilities and Duties :Selected intern's day-to-day responsibilities include :1. Use Keyword analysis and SEO techniques to create content on WordPress or Codeigniter2. Optimize SEO metadata and title of Webpage using competitor research3. Work in tools like Google Webmasters, Google Analytics, Google Trends, SemRush, Ahref, and Keyword4. Work on on-page SEO to optimize content and rank in SERP5. Research and create valuable & engaging content on the given webpages/blog post which can help in driving traffic and rank in SERP6. Generate creative content for backlink articles7. Find and research on what is trending on digital marketing, SEO and content creation and implement them in their work8. Update the content based on giving SEO guidelines to improve ranking based on analyzing the performance in Google Webmaster9. Use the knowledge from the workshop in creating good quality contentRequired Candidate profileRequired Experience, Skills and Qualifications :Social Media Marketing (Learn Social Media Marketing), Search Engine Optimization (SEO) (Learn SEO), English Proficiency (Spoken) (Learn Business Communication) and English Proficiency (Written)Who can apply :Only those candidates can apply who :- Are available for full time (in-office) internship- Are available for duration of 2 months- Have relevant skills and interestsBenefits :Certificate, Letter of recommendation, Job offer, Informal dress code, Free snacks & beverages.Job Type: Internship","['Intern', 'SEM / SEO', 'Social Media', 'Content Development', 'Education Marketing', 'Digital Marketing', 'Content Writing']",7 Days Ago,,https://www.naukri.com/job-listings-intern-content-writing-seo-getmyuni-bengaluru-bangalore-0-to-1-years-170620907644?src=jobsearchDesk&sid=15930809658104078&xp=2&px=1
14,Academic Content Writer- B.Tech (FRESHERS APPLY),DMG Solution,0-1 Yrs,"1,25,000 - 2,25,000 PA.",Kolkata(Dum Dum),Content Writing Jobs,"Job summaryWe are a Kolkata based Academic content writing company providing assignment help services to the foreign students. we will start our recruitment from 2nd week of JulyWe are hiring for the role of Academic Content Writer.Candidates should be from B.Tech/ M.Tech background. (2017- 2020 pass-outs only apply)ResponsibilityPrepare:*projects, assignments, study materialsCandidates need to write in their own wordsCandidates can research over the internet for information but cannot copy-paste from there.Candidate must be proficient in English writingQualification and skillQualification of B.Tech or M.Tech is MANDATORY for this role.Good English Writing SkillExcellent Grammatical SkillGood Typing SpeedBenefitQuarterly Increment (After every three months)For further inquiry, candidates can contact on 6289901808 (HR)","['technical writing', 'it fresher', 'content writing', 'b tech fresher']",7 Days Ago,,https://www.naukri.com/job-listings-academic-content-writer-b-tech-freshers-apply-dmg-solution-kolkata-0-to-1-years-180620004517?src=jobsearchDesk&sid=15930810209566843&xp=1&px=2
15,Content Writer (DM 1521),Oodles Technologies Pvt Ltd,0-1 Yrs,Not disclosed,Gurgaon,Content Writing Jobs,"ResponsibilitiesHandle all writing tasks ranging from producing articles to case studiesCoordinate with internal and external stakeholders to understand requirements and produce contentPrioritize tasks independently while tracking your activities on a regular basisEssential RequirementsImpeccable grammar, proof-reading, and editing skillsPassion for writing with a demonstrable track record of producing a variety of contentAn avid interest in technology and a penchant for staying on top of the latest developmentsProblem-solving ability to creatively craft content around technologies and their business applications","['Writing Skills', 'Articles', 'Proof Reading', 'Problem Solving', 'Case Studies', 'Editing', 'Business Applications', 'Grammar']",Today,,https://www.naukri.com/job-listings-content-writer-dm-1521-oodles-technologies-pvt-ltd-gurgaon-0-to-1-years-270520002139?src=jobsearchDesk&sid=15930810209566843&xp=2&px=2
16,Consultant / Senior Consultant- Intensive Care,Crassula Healthcare Solution,0-5 Yrs,Not disclosed,Bhopal,Consultant Jobs,"Urgently looking for Consultant/Senior Consultant- Intensive care /Intensivist for a leading CorporateHospitals,BHOPAL (MP) .Required Candidate profile  Work Experience Required 0 to1 5 yrsQualification MD/DNB- Anaesthesiology /Internal Medicine","['Anaesthesiology', 'Intensive care', 'Internal Medicine', 'Intensivist', 'Consultant- Intensive care']",Today,,https://www.naukri.com/job-listings-consultant-senior-consultant-intensive-care-crassula-healthcare-solution-bhopal-0-to-5-years-150120900970?src=jobsearchDesk&sid=15930810799143225&xp=1&px=1
17,Senior Resident/Classified Specialist/Attending Consultant,Habsons Jobsup Ltd,0-5 Yrs,Not disclosed,Gurgaon,Consultant Jobs,"Job DescriptionDesignation: Senior Resident/Classified Specialist/Attending Consultant/Associate Consultant.Qualification: MD/DNB/FNB/DM (Cardiac Anaesthesia).Preferable : Exposure in Paediatric Cardiology. Shift : Rotational (Roster based). Gurugram, IndiaExperience0 to 8 yrs","['Database', 'Anesthesia', 'Resident', 'DNB', 'Cardiology', 'Consulting Associate']",9 Days Ago,,https://www.naukri.com/job-listings-senior-resident-classified-specialist-attending-consultant-habsons-jobsup-ltd-gurgaon-0-to-5-years-150620500404?src=jobsearchDesk&sid=15930810799143225&xp=2&px=1
18,Work@home | Part Time | Data Entry | Computer Operator | Online Work,Zarbex Solutions,0-5 Yrs,"1,50,000 - 4,00,000 PA.","Guwahati, Lucknow, Bengaluru",Consultant Jobs,"Earn Rs.12,500/- in 10 Days, Form Filling Work, Duration: 10 Days, Payment Rs.50/Page Typing, Offline HTML Typing Project, Online Form Filling, Postcard Writing Job AvailableOnline/ Offline Typing and Data Entry WorkWorking Hours- 2-4 hoursRequired Candidate profileBasic Computer Knowledge.Most Important: Laptop or System or Tab Android phonePayments - Daily/Weekly/MonthlyContact 9871967256","['self employed', 'housewives', 'Freelance', 'Retired', 'graduates', 'Home Based', 'Part Time', 'Freshers']",30+ Days Ago,,https://www.naukri.com/job-listings-work-home-part-time-data-entry-computer-operator-online-work-zarbex-solutions-guwahati-lucknow-bengaluru-bangalore-0-to-5-years-131219006479?src=jobsearchDesk&sid=15930811248986039&xp=1&px=2
19,Wanted Married Female For Medical Transcription Online Certification,Yogam BPO,0-5 Yrs,Not disclosed,"Palakkad, Trivandrum, Kochi, Kollam, Kottayam, Kolkata",Consultant Jobs,"Working from home in Medical Transcription field is just like a dream come true.It will not only be a good career for trained moms to be in this field but also will help them to maintain good work life balanceCALL - 9840040143WhatsApp@ 9789004777Required Candidate profileTo get started in Medical Transcription you just have to complete an online certification course.You can easily launch your home-based career in a very short period of time, after the completion of the course.CALL - 9840040143WhatsApp@ 9789004777Perks and benefitsSkype online training provided. English knowledge compulsory. Whats-app@ 9789004777, Call - 9840040143. College Campus training available. We welcome Medical Transcription, Medical Coding Companies regarding requirement of skill based trained fresher","['insurance', 'online marketing executive', 'home maker', 'icd - 10', 'general transcription', 'it consulting', 'online tutor', 'dubai']",5 Days Ago,,https://www.naukri.com/job-listings-wanted-married-female-for-medical-transcription-online-certification-yogam-bpo-palakkad-palghat-trivandrum-ernakulam-kochi-cochin-kollam-quilon-kottayam-kolkata-0-to-5-years-190620008090?src=jobsearchDesk&sid=15930811248986039&xp=2&px=2
20,Engineer (Mechanical Documentaion),Zen Technologies Limited,2-6 Yrs,"2,00,000 - 4,00,000 PA.",Hyderabad(Sanath Nagar),Engineering Jobs,"Warm Greetings from Zen Technologies LtdWe are looking for candidate with 3+ years experience mechanical engineer for mechanical documentation, JD As follows below  Design and Development documentation as per QMS & ISMS.External/ Internal audit findings corrective actionsConducting QMS Internal audit as per planGathering inputs from other departmentsPreparation of assembly procedure for production.Preparation of acceptance criteria (Quality check list for production dept)Preparation of BOM.Should have good knowledge on qualityShould have knowledge on standards like (AS,ISO,ANSI,ASME,SAE,etc)Interested candidates can share their updated resume to vijaykondalarao.m @zentechnologies.comJob location will be - Sanath Nagar- Hyderabad","['Internal Audit', 'ISMS', 'Design Development', 'ISO', 'QMS', 'Production', 'Quality Check', 'Mechanical Engineering']",3 Days Ago,,https://www.naukri.com/job-listings-engineer-mechanical-documentaion-zen-technologies-limited-hyderabad-secunderabad-2-to-6-years-220620003492?src=jobsearchDesk&sid=15930811741516236&xp=1&px=1
21,Business Development Engineer,Adecco India Private Limited,2-7 Yrs,"3,00,000 - 4,00,000 PA.",Hyderabad(Sanath Nagar),Engineering Jobs,"Roles & Responsibilities:1.Responsible for organizing sales visits to various customers (PAN INDIA)2.Work Independently 3. Take various initiatives to create more sales from different channels. 4. Manage the sales process from ""lead, contract execution and payment in a professional manner.Required Candidate profileB.E/B.Tech in Electrical /Electronics/ Mechanical Engineering), core subject with MBA (Marketing/ Operations) Area of Expertise: Electronics services/ Industrial Services ","['Equipment Sales', 'marketing', 'industrial sales', 'sales engineer', 'Technical Sales', 'business development', 'sales', 'Medical Equipment']",8 Days Ago,,https://www.naukri.com/job-listings-business-development-engineer-adecco-india-private-limited-hyderabad-secunderabad-2-to-7-years-160620006340?src=jobsearchDesk&sid=15930811741516236&xp=2&px=1
22,Senior Software Engineer (Full Stack),Arcadis,8-12 Yrs,Not disclosed,"Bengaluru, Hyderabad",Engineering Jobs,"Job Title: Senior Software Engineer (Full Stack)Who you are:Possess excellent design and coding skills and a zeal for owning the complete SDLC of building applications in a DevOps environmentYou are curious. You like to learn new technologies, and you adapt well to changeYou are excited about working with cloud-native stack, building on Azure and AWS cloudYou possess a sense of intellectual curiosity and a burning desire to learnYou possess a strong sense of software engineering craftsmanship, take pride in your codeYou thrive in collaborative agile teams and are ready to take on new and unexpected challenges while building the next wave of software engineering solutionsPossess a strong sense of design, zeal for coding and takes pride in the code they're responsible for while defining best practices as our teams abide by a You Build It You Own It attitudeWhat You'll Own:Collaborating with and across Agile teams to design, develop, test, implement, and support technical solutions in full-stack development tools and technologiesLeading the craftsmanship, security, availability, resilience, and scalability of your solutionsBringing a passion to stay on top of current trends, experiment with and learn new technologies, participate in internal & external technology communities, and mentor other members of the engineering communityEncouraging innovation, implementation of cutting-edge technologies, outside-of-the-box thinking, teamwork, and self-organizationAssisting in the hiring of top engineering talent and maintaining our commitment to our values, culture and passion The ideal candidates should:Bachelor's Degree in Information Systems, Computer Science or in a related field or equivalent work experience and practical knowledge7+ years of professional experience as a full stack developer or similar roleExperience developing desktop and mobile applications. Familiarity with common stacks. Relevant experience in web development .NET Core, ASP.NET, Entity Framework and Azure Web Apps Relevant experience in web development Nodejs, MEAN Stack and AngularJS/ React.Knowledge of multiple front-end languages, back-end languages and libraries and abilities handle every aspect of frontend, backend development and services plus 3rd party API integrationBuild resilient and reusable Microservices & API using latest technologies and patternsExperience in automated CI/CD, Containers and Cloud technologies Utilize the latest advancement in Microsoft Web technology and new design patterns to enhance usability and functionality of the IT solutionBasic Qualifications:Bachelor's Degree in computer science and/or its equivalentAt least 7 years of experience in above technologies and architecturesExperience of Test Driven Development Preferred Qualifications:Master's or Minor in Computer Science3+ years of experience developing RESTful APIsArchitecture, design experience with good knowledge of design patterns & their implementation. Key competencies / Values:People First: We care for each other and create a safe and respectful working environment where our people can grow, perform, and succeed.Integrity: We always work to the highest professional and ethical standards and establish trust by being open, honest and responsible.Client Success: We are passionate about our clients' success and bring insights, agility, and innovation to co-create value.Collaboration: We value the power of diversity and our global capabilities and deliver excellence by working as One Arcadis.Sustainability: We base our actions for clients and communities on environmental responsibility and social and economic advancement.","['c#', 'Angularjs', 'html5', 'Entity Framework', 'ASP.Net MVC', 'css3']",5 Days Ago,,https://www.naukri.com/job-listings-senior-software-engineer-full-stack-arcadis-bengaluru-bangalore-hyderabad-secunderabad-8-to-12-years-200620000099?src=jobsearchDesk&sid=15930812000456809&xp=1&px=2
23,Software Engineer/ Senior Software Engineer,Embitel,2-7 Yrs,Not disclosed,Bengaluru,Engineering Jobs,"Job Title :Software Engineer/ Senior Software EngineerJob Description: Embitel is looking for Software Engineer/ Senior Software Engineer for our product engineering services for IOT domain.Experience: 2 to 8 years (with minimum 2 years in Qt & C++).Location: BangaloreEducation: Engineering or Technical degrees preferred (B.E/B.TECH/M.E/M.TECH)Primary Skills:Minimum 2 years of experience in QT , professional QTKnowledge on professional C++ applications with QTDeep knowledge about QT framework with QT 5.x version or aboveQT modules like (Widgets, gui, xml and etc?)QT GUI basic components like (All inputs and display widgets, Buttons, Layouts, Dialog, etc?)Multithreading concepts, data structures/container classes and problem-solving skillsGood communication skillsTeam playerInterest to learn new thingsSecondary skills:Understanding of complete productUnderstanding of architecture of the softwareUnderstanding of source code of major modules and their interfacesDevelopment work: Improving or correcting current features and adding new features","['Engineering services', 'Product engineering', 'Powertrain', 'Embedded software', 'Automotive engineering']",5 Days Ago,,https://www.naukri.com/job-listings-software-engineer-senior-software-engineer-embitel-bengaluru-bangalore-2-to-7-years-190620501043?src=jobsearchDesk&sid=15930812000456809&xp=2&px=2
24,Fresher job Opportunity To Learn Export Import - 2020 Passout Can also,Creative Hands HR Consultancy,0-4 Yrs,"3,75,000 - 6,00,000 PA.","Chennai, Mumbai, Ahmedabad, Bengaluru, Hyderabad, Jaipur",Export Import Jobs,"Hi,2020 passout can also apply1.Preparation of Pre -export shipment documents2.Arrangement of containers.3.Preparation of Post Shipments documents.4.Placing of import order.5.Follow-up with foreign supplier for delivery schedule of material.6.Opening LC for import shipmentPLEASE DO NOT SEARCH FOR OUR NUMBER FROM GOOGLE AND PLEASE DO NOT CALL US.PLEASE APPLY FOR THE JOB IN NAUKRI.COM AND WE WILL REVERT BACK TO YOU. If you are not able to apply in Naukri.com, please send resume to -  CreativeHandsHr2@gmail.com and we will call you asap.PLEASE DO NOT SEARCH FOR OUR NUMBER FROM GOOGLE AND PLEASE DO NOT CALL US.Required Candidate profilePLEASE DO NOT SEARCH FOR OUR NUMBER FROM GOOGLE AND PLEASE DO NOT CALL US.PLEASE APPLY FOR THE JOB IN NAUKRI.COM AND WE WILL REVERT BACK TO YOU. If you are not able to apply in Naukri.com, please send resume to -  CreativeHandsHr2@gmail.com and we will call you asap.PLEASE DO NOT SEARCH FOR OUR NUMBER FROM GOOGLE AND PLEASE DO NOT CALL US.","['freshers', 'LC', 'Shipment', '2020 passout', 'Export Import', 'Logistics']",5 Days Ago,,https://www.naukri.com/job-listings-fresher-opportunity-to-learn-export-import-2020-passout-can-also-creative-hands-hr-consultancy-chennai-mumbai-ahmedabad-bengaluru-bangalore-hyderabad-secunderabad-jaipur-0-to-4-years-310520000974?src=jobsearchDesk&sid=1593081255033456&xp=1&px=1
25,Manager/executive -  Export & Import,JINDAL EXPORTS AND IMPORTS PRIVATE LIMITED,5-10 Yrs,"1,75,000 - 6,00,000 PA.",Delhi(Barakhamba Road),Export Import Jobs,"Work experience: The candidate should have practical knowledge of Import/Export Policies & Proceedures administration and control within Government Rules and Regulations, such as DGFT & Customs, freight forwarders to ensure coordination and logistics of shipment, possessing work experience of minimum 5-10 years.Required Candidate profileComputer Skills: MS Word/Excel knowledge is must.Writing Skills: Must be able to write/communicate in English with various Government departments such as DGFT, Customs and other outside parties/clients/vendors.Work Follow-up Skills: The candidate should have confidence to interact with DGFT/Customs and be able to get his work done with vigorous follow-up.Perks and Benefits Manager - Export & Import 30000 to 50000 pm , Executive - Export & Import 15000 to 25000 pm","['excise assistant', 'export & import manager', 'customs assistant', 'export import executive', 'export manager', 'import manager', 'dgft', 'customs executive assistant']",15 Days Ago,,https://www.naukri.com/job-listings-manager-executive-export-import-jindal-exports-and-imports-private-limited-delhi-5-to-10-years-260520005251?src=jobsearchDesk&sid=1593081255033456&xp=2&px=1
26,Export Import Executive,Job Scan Solution,1-4 Yrs,Not disclosed,Kakinada,Export Import Jobs,Export Import Executive 9 - 5 - 2019Job Description:Preparation of Export Import DocumentationPreparation of Invoices and Packing ListsPlanning of ShipmentsMaintain good relationship with both international and domestic customers.Candidate should have good communication skillsProficiency in MS officeRequires Male / Female fresher candidateLocation : KAKKANADQualification : BCM/BBAExperience : FRESHER,"['Executive Export & Import', 'Import Documentation Executive', 'Relationship', 'Packaging', 'Export import documentation', 'MS Office']",30+ Days Ago,,https://www.naukri.com/job-listings-export-import-executive-scan-solution-kakinada-1-to-4-years-170120500994?src=jobsearchDesk&sid=15930812947065704&xp=1&px=2
